"CTRL_0"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL_5"	"CTRL_6"	"CTRL_7"	"CTRL_8"	"LUTS_0"	"LUTS_1"	"LUTS_2"	"LUTS_3"	"LUTS_4"	"LUTS_5"	"LUTS_6"	"LUTS_7"	"LUTS_8"
"ABHD3"	1065.84	754.506	0	272.957	298.103	105.81	1106.22	211.486	1094.64	0	103.515	0	444.115	271.457	285.257	883.095	270.344	1.82758
"ABHD4"	207.184	347.101	785.008	328.732	131.417	251.074	0	113.942	50.9649	355.967	698.728	0	491.52	2020.44	197.959	679.732	401.777	0
"ABHD5"	1894.57	5027.7	6951.8	849.294	1101.1	624.995	3989.6	1922.29	3139.14	1033.89	2695.17	4411.98	7450.15	81.9837	819.024	7483.32	1107.02	0
"ABHD6"	0	0	0	0	139.63	2.69008	0	49.1925	922.538	3.51862	3.23485	0	0	0	173.533	4.87513	18.1654	0
"ABHD8"	0	0	0	5.91548	36.7193	34.971	0	1.68179	22.8973	432.204	0	0	149.702	0	34.6216	133.021	0	0
"ABI1"	2656.74	1544.07	67.5703	2394.08	2099.77	2612.07	5166.91	2598.79	3111.07	2535.75	1070.2	4735.33	3834.86	2670.85	2963.65	3830.46	2006.75	1628.38
"ABI2"	167.542	61.0056	31.7978	203.662	447.879	4.48347	16.5544	377.983	298.403	314.33	51.2185	1.43713	29.9403	2022.26	147.195	0.696447	573.814	3.65516
"ABI3"	482.431	66.6153	2279.51	106.479	544.509	329.983	0.973787	52.1356	577.602	578.813	255.014	1115.21	237.028	0	479.18	0.696447	76.936	5.48275
"ABI3BP"	0	77.1335	0	0	0	0	12.6592	26.9087	224.541	59.8165	46.9054	0	0	0	4.46045	0	29.9195	0
"ABL1"	638.006	648.622	0	611.83	537.262	473.454	0	961.566	533.285	656.809	217.813	311.856	1624.26	2049.59	644.854	557.854	690.287	354.551
"ABL2"	2678.43	1553.19	2225.85	2421.97	2793.57	1181.84	4477.47	3518.31	1856.89	2666.53	3044.54	2743.47	1913.69	428.137	4139.51	552.283	1445.76	2067
"ABLIM1"	3239.39	7519.81	5890.54	474.929	2309.45	34.971	6985.95	6019.14	9972.13	858.543	2545.83	9250.78	14211.7	8256.67	737.674	24949.5	4009.22	4283.85
"ABLIM2"	88.2587	170.395	0	0	47.3486	0	0	95.8623	5.17035	41.637	5.93056	0	0	1078.54	32.2852	1035.62	21.3711	0
"ABLIM3"	172.03	1297.24	0	168.169	138.181	69.0454	2661.36	523.459	196.473	70.9588	2.69571	692.695	783.439	3119.02	144.009	1411.7	937.123	0
"ABO"	660.444	652.83	0	65.9154	39.6182	0	82.7719	57.6015	0.738622	0	17.7917	0	17.4652	371.659	17.417	14.6254	253.248	0
"ABR"	5325.44	1011.15	6536.44	3042.25	4565.28	5096.81	2734.39	2704.33	2921.99	7790.22	3417.62	4253.89	2480.06	2138.86	4593.63	1095.51	2975.93	0
"ABRA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABRACL"	12.7152	415.118	0	143.662	696.218	461.797	0	376.722	430.616	79.1689	52.2968	0	770.963	92.9149	186.489	738.93	447.725	1677.72
"ABT1"	0	3.50607	0	23.6619	34.3036	0	0	58.8628	113.009	1.75931	74.4016	0	0	0	57.7735	0	136.775	9.13791
"ABTB1"	3.73977	393.381	6395.33	796.055	515.52	603.475	0.973787	306.507	234.143	434.549	1632.52	1460.12	501.5	1634.21	388.909	586.408	406.051	2704.82
"ABTB2"	2561.75	3182.81	1806.51	539.154	787.533	104.913	1201.65	914.476	3781	157.165	1124.65	3845.75	4371.29	2843.92	293.328	5803.49	1754.57	1299.41
"ACAA1"	1171.3	1389.1	49.6841	975.21	629.06	876.966	4931.26	924.987	1019.3	1150	348.825	468.503	2001.01	400.809	631.898	3532.38	1258.76	999.688
"ACAA2"	563.958	856.181	2517.99	342.253	379.755	229.554	1213.34	271.189	113.009	642.734	135.325	931.258	466.57	1031.17	834.317	444.333	236.151	1431
"ACACA"	1026.94	919.291	9.93681	728.449	301.002	178.442	926.071	372.097	559.875	314.916	383.33	1911.38	1359.79	726.922	397.405	833.647	860.187	1.82758
"ACACB"	32.1621	9.11577	2090.71	321.971	143.012	125.537	0	191.725	113.748	207.598	116.994	951.378	636.232	0	121.494	82.1808	221.191	0
